id,versions,displayName,abbreviation
315,"[{'id': 485, 'md5': '3BD1595F65A97E80BB510B09BBB94D7F', 'sha1': '65B7EAF754D6D455F4B242761A46B8264730D6EE', 'name': 'Spider-Man - Return of the Sinister Six (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Spider-Man: Return of the Sinister Six,smrotss
319,"[{'id': 1960, 'md5': '07DB9592063FE3DCE850CCC7C340CFD1', 'sha1': '6613725B975B45EB77AAC81C0D20F8CDA58BBA81', 'name': 'Choujin Sentai - Jetman (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Choujin Sentai Jetman,chosenjm
320,"[{'id': 255, 'md5': 'BCFBA639C3A57040A1A8063645DC7BC4', 'sha1': '4858EA2208D45EDE8A5BD21F9AD9BE899741707C', 'name': 'Skate or Die 2 - The Search for Double Trouble (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Skate or Die 2: The Search for Double Trouble,sod2
322,"[{'id': 1179, 'md5': '07CF64F91DB3A32E3525F3BEC1115C71', 'sha1': 'B38F511063E51D109ED5475B73DEB68BF1ADAB98', 'name': 'Amagon (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Amagon,amagon
324,"[{'id': 1386, 'md5': '483695DE094F4DD49652C5BC78BDBA19', 'sha1': '30B6AFB694AB5045B88F723A1ADE44575C33FB69', 'name': 'Teenage Mutant Ninja Turtles III - The Manhattan Project (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Teenage Mutant Ninja Turtles III: The Manhattan Project,tmnt3
325,"[{'id': 882, 'md5': 'BA2CBBEBCC0ADACA687598B0A00B29D3', 'sha1': '75822C00ABC9D8174178E5B160BA6AFB0B2982A4', 'name': 'King Kong 2 - Ikari no Megaton Punch (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4983, 'md5': '6C0F9D25D94AC92900CF5B2802D78396', 'sha1': '24034BCD05D4744A7D8D1410B52A4744B2FED3D0', 'name': 'King Kong 2 - Ikari no Megaton Punch (J) [!].nes (2)', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNes3.23'}]",King Kong 2: Ikari no Megaton Punch,kngkong2
331,"[{'id': 1738, 'md5': 'DBC9C04CFF18A62BBAB29A5BD311A29C', 'sha1': '5F25F5D0B3686105C7EB4F3E30278418DE561827', 'name': 'Splatterhouse: Wanpaku Graffiti', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4869, 'md5': '27D74FE97EB7E6D61BD4063983DEF59E', 'sha1': '0BEC2C3BA51246F97EA696D4338AFE6C062EBF04', 'name': 'Splatter House - Wanpaku Graffiti (J) [b1].nes', 'type': 3, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Splatterhouse: Wanpaku Graffiti,splatwg
336,"[{'id': 380, 'md5': '9C819E679F5FAB4EF836761D31E98ADC', 'sha1': '42F954E9BD3256C011ABA14C7E5B400ABE35FDE3', 'name': 'Super Dodge Ball (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Super Dodge Ball,sdb
337,"[{'id': 1875, 'md5': '8769B7FE04E750D4CBF446C798FA451B', 'sha1': '1703FF03BC24274871781E6DAFA4A1E72D4AB99F', 'name': 'Fantasy Zone (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Fantasy Zone,fz
338,"[{'id': 412, 'md5': '392630FF141F918469C0B1E3391C3669', 'sha1': '1C99DDD0A0ADDF875DADFFCF899FF4D8C5BE953E', 'name': 'Pinball Quest (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Pinball Quest,pinball-quest
339,"[{'id': 1786, 'md5': 'C82B4E3CFB6F56845B8064B5DA780124', 'sha1': 'CA7641AE940CF656C12E8E697A50C34959F1D468', 'name': 'Paperboy (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Paperboy,paperboy
344,"[{'id': 447, 'md5': 'C18C6A6F9008790774578488FC134BF1', 'sha1': '4672256B7E1F705C894608685BCECF62ED423810', 'name': 'Hydlide (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4110, 'md5': '4640010924FAA12A05A07A52B238E716', 'sha1': '0092C94A8169113775C5DD8C648E654FD9C3FB4E', 'name': 'Hydlide Special (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Hydlide,hydlide
345,"[{'id': 1266, 'md5': '58DB109F4A4573543E3D5054812CA7D1', 'sha1': 'B79509E001EBC22E9F7112D31A91FF6D7E335F88', 'name': 'Simpsons, The - Bart Vs. the Space Mutants (U) (PRG0) [!]', 'type': 1, 'region': 'U', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",The Simpsons: Bart vs. the Space Mutants,bart-v-tsm
346,"[{'id': 70, 'md5': 'c21f99f0d2f564027c561b65759d3ddc', 'sha1': 'c9c48e0b633feecfcc22ef7ccf14d27124709f70', 'name': 'Widget (USA).nes', 'type': 1, 'region': 'U', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}]",Widget,widget
353,"[{'id': 1511, 'md5': 'C3670AA0B77A26279438944BE48C3DAA', 'sha1': 'D6EBFE209995E8DB14E82DF952E8C5B10B025460', 'name': 'Tom & Jerry (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Tom & Jerry,tnj
360,"[{'id': 1211, 'md5': '67773120C4B8B6836CBE669DAD6DF46C', 'sha1': 'A91CF3FF63DD7A45C8C83BC0E192C1011D217609', 'name': 'Strider (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Strider,stridnes
367,"[{'id': 108, 'md5': '3EF863D2DF43E805BAD70F74F0CCD909', 'sha1': 'A867549BAD1CBA4CD6F6DD51743E78596B982BD8', 'name': 'Dragon Warrior III (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Dragon Warrior III,dw3
369,"[{'id': 2076, 'md5': 'EDB710FF29CAFDC131A6C26C952829D2', 'sha1': '9369ADBB9BDC25861877285773D14C747E48C500', 'name': 'Conquest of the Crystal Palace (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Conquest of the Crystal Palace,conqotcp
371,"[{'id': 384, 'md5': 'F3C41E20BEA4E60816B8452AEAFF9385', 'sha1': '8DE4F9DD211A02DF5B328FB7305BD651F07E8859', 'name': 'Might & Magic - Secret of the Inner Sanctum (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4100, 'md5': '80E6A6387E16E6ACE6783B8817F8BAB1', 'sha1': '897F89608E196FE227BDEF9F494A5AB4318BB6DB', 'name': 'Might and Magic - Book One - Secret of the Inner Sanctum (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Might and Magic: Secret of the Inner Sanctum,migtnmag
375,"[{'id': 2223, 'md5': '75b924155cafee335c9ea7a01bfc8efb', 'sha1': '53197445e137e47a73fd4876b87e288ed0fed5c6', 'name': 'Mega Man 3, 4, 5 & 6', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]","Mega Man 3, 4, 5 & 6",mm3456
382,"[{'id': 1347, 'md5': 'F178053BB49ABDF9F3252D04617DB38B', 'sha1': '95610C432927F8E2179B1A49496A083AED34A322', 'name': 'Daiku no Gen San (J) [!]', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Hammerin' Harry,hamharry
384,"[{'id': 1311, 'md5': '7DC7D65EA289FBBB32CB76CFFB2C31C7', 'sha1': '24B0B961C8CDBE3C6DD19477F29D6E8AEBAEC91C', 'name': 'Dizzy The Adventurer (Camerica) (Aladdin) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Dizzy the Adventurer,dizzyta
386,"[{'id': 2070, 'md5': '09ED65C2D06263899C2CDB04CAC0D5C9', 'sha1': '57FB1E3611EFDAEE0943DA34D9EAA0D86802C25A', 'name': 'Moai-kun (J)', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Moai-kun,moaikun
390,"[{'id': 1086, 'md5': 'f1c7732e3d4bc83ae596bd3aba9902f1', 'sha1': 'ae6656ac0dac41089613f46edb73c2d336beb67e', 'name': 'Mighty Bomb Jack (J) [!].nes', 'type': 1, 'region': 'J', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 3667, 'md5': '867768538a79ce84b64dba2582badb4d', 'sha1': 'd102ec518b3f395e484e04d3e46377d9893375ac', 'name': 'Mighty Bomb Jack (U) [b1].nes', 'type': 3, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4138, 'md5': 'bc4b51bfc957e84ad14981f1e3871d96', 'sha1': 'ef82f282c4516e8fc92dbea376015aeb5c1239e6', 'name': 'Mighty Bomb Jack (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Mighty Bomb Jack,mbjack
400,"[{'id': 1880, 'md5': 'FA0F07AC948CCA82A69119BDAF9543FE', 'sha1': '793683592E79647B6756C74340F944AA0FA23BD1', 'name': 'Mighty Final Fight (J) [!]', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4870, 'md5': '1355ECCCE09D3E9554FF9120387F64B0', 'sha1': '1BB410BC457694FE3109791B6BE8F75BF157B8C8', 'name': 'Mighty Final Fight (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Mighty Final Fight,mightyff
403,"[{'id': 2504, 'md5': '0E991488C4272B560A0BCF9ECB38A8F8', 'sha1': 'F79D87D9B32498477EC2BF1939979D0D1D7BAB7F', 'name': 'Mitsume ga Tooru (J) [!]', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Mitsume ga Tooru,mitgatoo
409,"[{'id': 1565, 'md5': '894F49A450F8EB6A702E064BAB83D117', 'sha1': '219E51E8DA40024D2F43D4ADEF941BE05E3EB6ED', 'name': 'Ninja Crusaders (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ninja Crusaders,ninjcrus
423,"[{'id': 1711, 'md5': '0E1A559F0E7F31E961413C7466CF6113', 'sha1': 'E6AD766B7F42113325DEB96917CCD81DA92EEFA7', 'name': 'Panic Restaurant', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}, {'id': 4859, 'md5': '29DA48E6A9BEF7131233CEC0EEB43A01', 'sha1': '7124B65B810A4E817B9401AA08CD7E8C5CB3029E', 'name': 'Wanpaku Kokkun no Gourmet World (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Panic Restaurant,panicrst
436,"[{'id': 1267, 'md5': '5436D1B38E3CAC2AE326F77572B3E503', 'sha1': '8F9744E3ECFB6009746CA5D70C295CC58DB2302B', 'name': 'Mickey Mouse III - Yume Fuusen (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Mickey Mouse 3: Yume Fuusen,mickey3
437,"[{'id': 835, 'md5': 'D229EAB8A56783BE1AF66D1FEC169F92', 'sha1': '668A395CF7215F677B6DF6C4C8C93E1BB439DC25', 'name': 'Batman - Return of the Joker (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Batman: Return of the Joker,nes-batmnroj
439,"[{'id': 2547, 'md5': '600B2BF74318EC87FDC3824A3331E75D', 'sha1': '674D088FC80DD06DF0E0C355C88A2A44A84C7F7E', 'name': 'Solitaire (AVE) (REV1.1) [!].nes', 'type': 1, 'region': 'U', 'version': 'REV1.1', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Solitaire,solitnes
444,"[{'id': 63, 'md5': 'DF2F4CFF79C54C82B2492774A20FE3F7', 'sha1': '024859F211BD854AC9D4ECCC20C63BC8738ED133', 'name': 'R.B.I. Baseball (USA).nes', 'type': 1, 'region': 'U', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}, {'id': 4838, 'md5': '6838D04D0158836983ABB082AFE1A8D2', 'sha1': '2DB12AA2D44CAE330A19DDCBBF7EA5E8E1540642', 'name': 'R.B.I. Baseball (U) [o4]', 'type': 3, 'region': 'U', 'version': 'o4', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",R.B.I. Baseball,rbibb
445,"[{'id': 1741, 'md5': '3DC676F6A0D1E400BB4E1BF908E4C46A', 'sha1': 'FD8551F8B02323D31DCC38DCD69545725D6C0538', 'name': 'Adventures of Lolo 3 (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",Adventures of Lolo 3,lolo3
448,"[{'id': 1260, 'md5': '215B15F1260806612D13601F9A7DA855', 'sha1': '0E7DF1CA07D5330B2536717F3B4F5B21ED381C4C', 'name': 'Pirates! (U) [b1]', 'type': 3, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4871, 'md5': '3C1C35DDD2ACB3F2F500AFC925A21EF9', 'sha1': '4929C3CD3D69239A16FAE52B2570E099CC6F4BC8', 'name': 'Pipe Dream (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Pipe Dream,pipedrm
451,"[{'id': 2151, 'md5': '09FB562F6A0F777E0C81C2C9A5E66BC1', 'sha1': 'E87A14E89AC58E85B7E36BACD0F7364083566D61', 'name': 'Chiki Chiki Machine Mou Race (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Wacky Races,wakyrces
458,"[{'id': 909, 'md5': '0d3ddb15fb94c7c663062c9bbf804299', 'sha1': 'fddc581f9837c47628fcfba01f258f3318af9641', 'name': '8 Eyes (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.14'}]",8 Eyes,8eyes
463,"[{'id': 65, 'md5': '17262cb7b1f1ea96055d93b83bac379e', 'sha1': '49f1369c0e3926da1ae4ef9baa6c41f8c649b893', 'name': ""Snake's Revenge (USA).nes"", 'type': 1, 'region': 'U', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}]",Snake's Revenge,snakerev
465,"[{'id': 1367, 'md5': 'FD2934BE0FA30B1DCFB6BB2E575E7D5A', 'sha1': '2CF94B1A7C82E3B81AA47963BB5F2CD822715D8E', 'name': 'RoboCop 3 (U) [o1]', 'type': 3, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",RoboCop 3,rc3
473,"[{'id': 1881, 'md5': '12700D194059470BCFEAA5FFF0A116A6', 'sha1': 'B3AEC4E889C480402DAC7265855A698101376E14', 'name': 'Monster in My Pocket (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Monster in My Pocket,mimp
475,"[{'id': 69, 'md5': 'bf06f7f28ddc4e07fe994fa214ede357', 'sha1': 'ab916a9fa0e389502e6f5849e9f6d45de2b98959', 'name': 'Dungeon Magic - Sword of the Elements (USA).nes', 'type': 1, 'region': 'U', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}]",Dungeon Magic: Sword of the Elements,dmsote
477,"[{'id': 1137, 'md5': '0BECA3A3A12BA875360A4AA65B5D7943', 'sha1': '6D1F98345FA5FE127B730567E202C5B6CC6E1627', 'name': 'Kaiketsu Yanchamaru 3 - Taiketsu! Zouringen (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}]",Kid Niki 3,kidniki3
478,"[{'id': 905, 'md5': '9EF264D1B0F6812CE60B9A6B78E365B9', 'sha1': 'B230FFDD6FBE0180C48F181DE792A7321B582273', 'name': 'Zen - Intergalactic Ninja (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Zen: Intergalactic Ninja,zenin
483,"[{'id': 2010, 'md5': '2386571285995137AB5B2044818D8A80', 'sha1': 'AD6F93B83BCC0454F0DCDD68B364AE3001E76C15', 'name': 'U-four-ia - The Saga (E) [!]', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ufouria: The Saga,ufouria
486,"[{'id': 1325, 'md5': '8009CDF7EF0E79251388C1DDCB2DD506', 'sha1': '1E1CCA1663ACA0DD0D3372E842EAAC8FCD245802', 'name': 'New Ghostbusters II (E) [!]', 'type': 1, 'region': 'E', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",New Ghostbusters II,newgb2
488,"[{'id': 76, 'md5': '9cee61a4394001ced4a2d2e8b08ff627', 'sha1': 'f324f1977d4b7840c37821990247993c26fa46fc', 'name': 'Wizardry - Proving Grounds of the Mad Overlord (USA).nes', 'type': 1, 'region': 'U', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}, {'id': 5452, 'md5': 'eb221780634d0b50439555b57e2a4c4e', 'sha1': 'dbc6bd22f79055f48347707c8f0281a49ad777a6', 'name': 'Wizardry - Proving Grounds of the Mad Overlord (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Wizardry: Proving Grounds of the Mad Overlord,wizardmo
489,"[{'id': 875, 'md5': '98ECE89A4F4BB430C2244F865C2E84F6', 'sha1': 'B7E821B0FC0389CA7FE2E9A941840173B1779337', 'name': 'High Speed (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",High Speed,highspd
492,"[{'id': 337, 'md5': '67F20F04EC0ABE40215B557C1FF2C924', 'sha1': '27ED96DD9E208BF0ED06EAD0F6347ED9DEB6799E', 'name': 'Total Recall (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Total Recall,totlrecl
496,"[{'id': 394, 'md5': 'E5F71B547F6A8C6166C55B1BAA7D21C5', 'sha1': 'F19EDEDC60D3925B75BAE71B72448757FD59C3DB', 'name': 'Bad Dudes (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Bad Dudes,baddudes
505,"[{'id': 2343, 'md5': '46DF5A824F2BC69C6FC3E1EC825D4ADE', 'sha1': '3774BBA926B79382F413ED911E985BAEA4160DE9', 'name': 'Ghoul School (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ghoul School,ghoulsch
510,"[{'id': 302, 'md5': '8D029BD9C53D0B49215FA1BF2BF77BBB', 'sha1': '6219BE1826D51EC5A53AAED2EFE5520AFCEE4AE9', 'name': 'Metal Max (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Metal Max,metalmax
516,"[{'id': 398, 'md5': 'F4E767730A6345BD951BD39FC2B4AB38', 'sha1': '7B0DA149C3892B9AEC3E97400B79E1089CB8CC47', 'name': 'Magician (USA).nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Magician,magician
518,"[{'id': 1317, 'md5': 'D3EC44424B5AC1A4DC77709829F721C9', 'sha1': '01DE1E04C396298358E86468BA96148066688194', 'name': 'Dr. Mario (JU) (PRG0) [!].nes', 'type': 1, 'region': 'JU', 'version': 'PRG0', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}, {'id': 4872, 'md5': 'B4FCC17AC12907B2E64F6E0C1846866D', 'sha1': '0D52B8904CFFC3BDA959BA8615F606868A9A6D1F', 'name': 'Dr. Mario (JU) (PRG0) [o2]', 'type': 3, 'region': 'JU', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Dr. Mario,drmario
527,"[{'id': 2871, 'md5': '218503A880999363AC83945096040492', 'sha1': 'B7E7A96D049326C4610805FE86D42DE1703D5B96', 'name': 'Mother (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 2872, 'md5': '5BACF7BA94C539A1CAF623DBE12059A3', 'sha1': '505CC723E0C8D66BAAAF9597F21A505A88291F64', 'name': 'Earthbound (U) (Prototype).nes', 'type': 1, 'region': 'U', 'version': 'Prototype', 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",EarthBound Beginnings,ebb
539,"[{'id': 256, 'md5': '135A00814899859DC90886C55DCDC4AC', 'sha1': '0B93D8F2E40E085A83571409FC9973C959783A4D', 'name': 'The Legend of Zelda - Outlands.nes', 'type': 2, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",The Legend of Zelda: Outlands,lozo
540,"[{'id': 2437, 'md5': 'BC5C67DC97197EA3361A97D0BFD112C0', 'sha1': '16EC0A292DB42BE7814940619A415EC700FCD8E1', 'name': 'Yo! Noid (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Yo! Noid,yonoid
541,"[{'id': 869, 'md5': '151D60BC4041D7667886A72A75C7A096', 'sha1': '7912751D6C19D271346D411005B9AF8BAD07440C', 'name': 'Tatakae! Chou Robotto Seimeitai Transformers - Convoy no Nazo (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Transformers: Convoy no Nazo,transcnn
542,"[{'id': 2016, 'md5': '41936E258E0CF74C47A13F5B6049C338', 'sha1': '37474AA6C07D5F3D49D3FE0C4C496B28D4E36BE1', 'name': 'Takeshi no Chousenjou (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Takeshi no Chousenjou,takeshi
548,"[{'id': 85, 'md5': '08dc4066f8df3ce25d3b907f84bfc0ba', 'sha1': 'eb98e5057e097747406e5b8f273bda3816bef6b5', 'name': 'Extra Mario Bros.nes', 'type': 2, 'region': 'Other', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}]",Extra Mario Bros.,emb
549,"[{'id': 100, 'md5': 'BCC697DBB0513CB5EB5F9AAC00D876D2', 'sha1': '74F9D4BCBDB81A389B7E11E4EB06F699CFD3A9B9', 'name': 'Wizardry - The Knight of Diamonds (U) [!]', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Wizardry: The Knight of Diamonds,wizardkd
560,"[{'id': 1094, 'md5': 'F56F6D918B3E43FD171D081EB63D4486', 'sha1': '99EEE8F58A39F4DCA7734A8E777B9A8F37115BEB', 'name': 'Nuts & Milk (J) [!]', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Nuts & Milk,nutsnmlk
571,"[{'id': 1533, 'md5': 'A7EE7A2A5BA25E9E55FBAF41705567B1', 'sha1': '84A8CCCD512938F30DF72EDAE148F1A18E468146', 'name': 'Ghostbusters (J).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES3.23'}, {'id': 3333, 'md5': 'DBAE1AD6D3917A95B96D28BFC6F3F90A', 'sha1': '8945A9DFC99A2081A6FB74BBABF8FEAAC83A7E1A', 'name': 'Ghostbusters (UE)', 'type': 1, 'region': 'UE', 'version': None, 'systemCode': 'SMS', 'sourceDb': None}, {'id': 5042, 'md5': '9631832AFE458A2F59993DE26B9BCB9A', 'sha1': 'C2FAE32AC6C49DA99CD779BADBB64825E35D4C2F', 'name': 'Ghostbusters (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Ghostbusters,ghstbust
577,"[{'id': 1306, 'md5': '5AE932AC36FAAD83D3500CB017605734', 'sha1': '26623B69661011AF701B5BEB23C37F9BF80D52F1', 'name': 'Urban Champion (W) [!]', 'type': 1, 'region': 'W', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Urban Champion,urbchamp
590,"[{'id': 1898, 'md5': 'ad1a3c0b4f598ff55f9df5e8e212a97b', 'sha1': '181921a0b34bef08c3c0a6880d3b7e03ac850152', 'name': 'Pizza Pop! (J) [!].nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",Pizza Pop!,pizzapop
625,"[{'id': 105, 'md5': '26F1B77980A216767EA63C41397476E5', 'sha1': 'AA5C574A4743991A3523DFD78A39D782BEDE262A', 'name': 'Lunar Ball (Japan).nes', 'type': 1, 'region': 'J', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Lunar Pool,lunar
642,"[{'id': 109, 'md5': 'FB762C61F6742308CE3F290777E21E59', 'sha1': '11A40A1294AF0CF8B1CCB771F943E1A99BC716C7', 'name': 'RockmanNo_constancy_hard.nes', 'type': 2, 'region': 'J', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}, {'id': 3981, 'md5': '9DA20A7758076FBFF5ECD379C15FDBBA', 'sha1': '5292B30F065E249E6DFF261868CA31BA9B976F8C', 'name': 'RockmanNo_constancy_normal.nes', 'type': 2, 'region': 'J', 'version': '1.0', 'systemCode': 'NES', 'sourceDb': None}]",Rockman no Constancy,rocnocon
651,"[{'id': 1423, 'md5': '6EDF7F10231FC9CD7389F755DD1FEA0D', 'sha1': 'B851EF1C19478DF8987A7F82314FFEBBF9884341', 'name': 'Kid Kool and the Quest for the Seven Wonder Herbs', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': None}]",Kid Kool and the Quest for the Seven Wonder Herbs,kidkool
652,"[{'id': 1036, 'md5': 'c82eb393a36453cc6ba1270ab33ece3b', 'sha1': 'ab57331556b5c5456c67a24a21da91a6c1decd73', 'name': 'G.I. Joe - The Atlantis Factor (U) [!].nes', 'type': 1, 'region': 'U', 'version': None, 'systemCode': 'NES', 'sourceDb': 'GoodNES 3.23'}]",G.I. Joe: The Atlantis Factor,gijoeaf
